,ema_error,ema_error,ema_error,ema_error,passage_error,passage_error,passage_error,passage_error
target,calm,excited,focused,rescue,calm,excited,focused,rescue
constructor,,,,,,,,
graph-walk,0.35132102725272324,0.554463341719502,0.27192504514069615,0.3124751893826299,0.23277752746188235,0.3497413849067223,0.13659575800558807,0.2314890568876662
harmonic-golden,0.3408198296076261,0.46483359106284106,0.21813638300669191,0.35816092697908886,0.21542244334945815,0.3765596816536552,0.19010214264073266,0.20387587007958338
harmonic-organic,0.34530836196463005,0.5019326810771446,0.24897738858079524,0.3786156261323128,0.1760230716977333,0.3749849564966524,0.14928196988914372,0.20458261266528333
harmonic-prime,0.3631710704077455,0.5198483742239838,0.25993811300466224,0.3540435490349052,0.23097241358277348,0.3997040414130104,0.2025638721370245,0.227546139879017
polygon-pca,0.3381937175609631,0.5208909185995177,0.2930467167199682,0.34323844096648626,0.15626146154145462,0.3118974657389973,0.0661942231727341,0.27640864837625717
shuffled:graph-walk,0.43956020707562826,,,,0.2010073468076198,,,
shuffled:harmonic-golden,0.37437931601333607,,,,0.2323870129242016,,,
shuffled:harmonic-organic,0.33098887967396234,,,,0.2061473637426706,,,
shuffled:harmonic-prime,0.45767799461974584,,,,0.258058341605566,,,
shuffled:polygon-pca,0.3722961282602199,,,,0.1420924511611249,,,
shuffled:valley,0.33791992852297414,,,,0.04581491987996364,,,
valley,0.30337484524441644,0.4222497378568996,0.21869284265509137,,0.07651211314612517,0.36918171260931965,0.19645052740292965,
via-negativa,0.6058617454859713,0.6921711183156567,0.4119762124346417,,0.5419891666979257,0.7512694516733434,0.3295692314701974,
