constructor,generator,n,ema,passage,ema_rank,passage_rank,rank_shift
valley,psg,8,0.3076489564973112,0.12808811486112504,1.0,2.0,-1.0
shuffled:harmonic-organic,psg,1,0.33098887967396234,0.2061473637426706,2.0,6.0,-4.0
shuffled:valley,psg,1,0.33791992852297414,0.04581491987996364,3.0,1.0,2.0
harmonic-golden,psg,14,0.3483467509707016,0.22017512177633122,4.0,8.0,-4.0
harmonic-organic,psg,4,0.36870851443872066,0.2262181526872032,5.0,9.0,-4.0
shuffled:polygon-pca,psg,1,0.3722961282602199,0.1420924511611249,6.0,3.0,3.0
graph-walk,psg,4,0.3725461508738878,0.23765093181546473,7.0,11.0,-4.0
polygon-pca,psg,4,0.37384244846173387,0.2026904497073608,8.0,5.0,3.0
harmonic-prime,psg,4,0.3742502766678242,0.26519661675295636,9.0,14.0,-5.0
shuffled:harmonic-golden,psg,1,0.37437931601333607,0.2323870129242016,10.0,10.0,0.0
valley,gregory,2,0.38364147874799126,0.24521368455745635,11.0,12.0,-1.0
neutral,none,1,0.4041314258493471,0.21029989451758613,12.0,7.0,5.0
polygon-pca,word-template,4,0.42119506296325704,0.2845300619592882,13.0,15.0,-2.0
valley,word-template,3,0.4366638098665647,0.38470078817961867,14.0,21.0,-7.0
harmonic-golden,gregory,2,0.43775001858900997,0.2920364405662231,15.0,16.0,-1.0
shuffled:graph-walk,psg,1,0.43956020707562826,0.2010073468076198,16.0,4.0,12.0
harmonic-organic,word-template,4,0.4561503732471527,0.3528000513610666,17.0,20.0,-3.0
shuffled:harmonic-prime,psg,1,0.45767799461974584,0.258058341605566,18.0,13.0,5.0
harmonic-prime,word-template,4,0.4629973209919449,0.32200134557336035,19.0,19.0,0.0
harmonic-golden,word-template,4,0.46518210816153427,0.3167878352864697,20.0,18.0,2.0
graph-walk,word-template,4,0.4893427401575014,0.30948210123966324,21.0,17.0,4.0
via-negativa,psg,3,0.5700030254120899,0.5409426166138221,22.0,22.0,0.0
