id,constructor,generator,target,length,intensity,style,ema_error,passage_error,ema_v,ema_a,passage_v,passage_a,target_v,target_a,n_lines
graph-walk-psg-calm-7882d64d,graph-walk,psg,calm,medium,plain,unfiltered,0.35132102725272324,0.23277752746188235,0.4454046635668988,0.3750661166905652,0.5414386239193492,0.3033805092781648,0.75,0.2,24
graph-walk-psg-focused-13e19175,graph-walk,psg,focused,medium,plain,unfiltered,0.27192504514069615,0.13659575800558807,0.3973421333729358,0.49946526666753294,0.5463774875107086,0.5110012583767174,0.65,0.6,24
graph-walk-psg-excited-f1395e31,graph-walk,psg,excited,medium,plain,unfiltered,0.554463341719502,0.3497413849067223,0.36320009790242375,0.50848068453116,0.577697964801826,0.579998441739271,0.8,0.85,24
graph-walk-psg-rescue-59a12481,graph-walk,psg,rescue,medium,plain,unfiltered,0.3124751893826299,0.2314890568876662,0.49033036328428475,0.37381721361142256,0.580967139450803,0.3581615487825561,0.75,0.2,24
graph-walk-word-template-calm-0f3df287,graph-walk,word-template,calm,medium,plain,unfiltered,0.4730119879966879,0.2416688221030295,0.32412853374347145,0.4058490588200328,0.5648003466999179,0.3552575537427893,0.75,0.2,12
graph-walk-word-template-focused-c375e4fc,graph-walk,word-template,focused,medium,plain,unfiltered,0.36419291990672914,0.24285508327357025,0.3385516645800526,0.4112238964425498,0.541342502799275,0.3828085181829472,0.65,0.6,12
graph-walk-word-template-excited-99ab897e,graph-walk,word-template,excited,medium,plain,unfiltered,0.6276940265993458,0.5037619198332373,0.34579468067682945,0.41675951374896086,0.6252984569193609,0.37750085426604996,0.8,0.85,12
graph-walk-word-template-rescue-00b1d9e3,graph-walk,word-template,rescue,medium,plain,unfiltered,0.4924720261272427,0.24964257974881607,0.28921354884406336,0.37379454234523374,0.5009840090494903,0.2176763648576182,0.75,0.2,12
valley-psg-calm-0379d965,valley,psg,calm,medium,plain,unfiltered,0.2983783437577899,0.03795723899011675,0.5021255273655965,0.36609600187800473,0.7140974590298723,0.1876809276468907,0.75,0.2,24
valley-psg-focused-b6b50cae,valley,psg,focused,medium,plain,unfiltered,0.21869284265509137,0.19645052740292965,0.4350989218625394,0.5594526690900425,0.641796585816956,0.4037208271042731,0.65,0.6,24
