constructor,length,filter,n_lines,n_distinct,garbled_lines,poem_v,poem_a,ema_error,cal_error,cal_v,cal_a,pa,na,inspired,attentive,alert,interested,bank_v,bank_a,d_inspired,d_attentive
valley,short,clean,8,8,0,0.6991375000000001,0.34798541666666666,0.22933472899712637,0.15414140707222543,0.7525365659447845,0.31999141580606616,2.3655234659015556,1.6339743339215613,2.635679366324041,2.5482127942392134,2.167602065848388,2.4466984062406847,0.3821428571428571,0.5785714285714285,0.43790280002914717,0.40750469968226577
polygon-pca,short,clean,8,8,0,0.6120645833333334,0.48584999999999995,0.30177422296717504,0.09814751924028485,0.6294816060921757,0.4996380461007028,2.2014351235852727,2.080308630426532,2.298213274374608,2.387499571854984,2.0976586769179173,2.2457503184474197,0.3821428571428571,0.5785714285714285,0.10043670807971417,0.2467914772980362
valley,short,unfiltered,8,8,1,0.6990125,0.34779791666666665,0.2450702464677658,0.14587563236222587,0.7474589176307168,0.327477797028345,2.3732151553201675,1.6024339160463654,2.62393538312008,2.5882229400745564,2.1866016469406646,2.46494854954245,0.3821428571428571,0.5785714285714285,0.4261588168251862,0.4475148455176088
polygon-pca,short,unfiltered,8,8,0,0.6120645833333334,0.48584999999999995,0.30177422296717504,0.09814751924028485,0.6294816060921757,0.4996380461007028,2.2014351235852727,2.080308630426532,2.298213274374608,2.387499571854984,2.0976586769179173,2.2457503184474197,0.3821428571428571,0.5785714285714285,0.10043670807971417,0.2467914772980362
valley,short,clean+semantic,8,8,0,0.6948416666666668,0.36209791666666663,0.20723717393258176,0.04266127740462073,0.6812644320855403,0.4651443005204734,2.2960228172675388,2.1842544507836896,2.456994195600913,2.329289412978299,2.164650927963128,2.365935482843234,0.38981481481481484,0.5962962962962963,0.2592176293060193,0.18858131842135117
polygon-pca,short,clean+semantic,8,8,0,0.676275,0.48805,0.285757697016808,0.0517356154362943,0.6768978835170658,0.49389885593348587,2.533343948589953,2.099462607782273,2.7475621842176627,2.532176801449442,2.2965660374929255,2.5414499463688456,0.3821428571428571,0.5785714285714285,0.5497856179227689,0.39146870689249447
valley,medium,clean,24,24,0,0.7075451388888889,0.3343916666666667,0.22997628850181415,0.11196661000613573,0.6888769397686294,0.36487845409745945,2.5666538518144084,1.6773766598384579,3.0129581184912304,2.875258636897483,2.420962909750261,2.8022017545185514,0.3977272727272727,0.5472727272727272,0.8151815521963366,0.7345505423405352
polygon-pca,medium,clean,24,24,0,0.6117877976190477,0.48551071428571424,0.2846165293177747,0.1321101207060031,0.5919983748433816,0.4843464361564733,2.6003233623192745,2.2246164493112337,2.743473500274857,2.739324916298032,2.3966395152249556,2.602322791878728,0.38125000000000003,0.5633333333333334,0.5456969339799631,0.5986168217410843
valley,medium,unfiltered,24,24,0,0.7075451388888889,0.3343916666666667,0.22997628850181415,0.11196661000613573,0.6888769397686294,0.36487845409745945,2.5666538518144084,1.6773766598384579,3.0129581184912304,2.875258636897483,2.420962909750261,2.8022017545185514,0.3977272727272727,0.5472727272727272,0.8151815521963366,0.7345505423405352
polygon-pca,medium,unfiltered,24,24,0,0.6117877976190477,0.48551071428571424,0.2846165293177747,0.1321101207060031,0.5919983748433816,0.4843464361564733,2.6003233623192745,2.2246164493112337,2.743473500274857,2.739324916298032,2.3966395152249556,2.602322791878728,0.38125000000000003,0.5633333333333334,0.5456969339799631,0.5986168217410843
valley,medium,clean+semantic,24,24,0,0.7072575396825397,0.3554972222222222,0.24800951573975155,0.09394732742590914,0.7361401335593729,0.37827839737313407,2.922369856560318,2.451456224315174,3.1569430918616614,2.8920969341825207,2.64799709206927,2.9447737208464893,0.3961538461538462,0.5969230769230769,0.9591665255667676,0.751388839625573
polygon-pca,medium,clean+semantic,24,23,0,0.6467868055555556,0.4491861111111111,0.28116467268403106,0.06605099457035547,0.6579121738963161,0.47942871126539793,2.932450678040108,2.0307008978456635,3.1208329363200784,2.8916550439453186,2.6574460155815034,2.9423324992320077,0.38981481481481484,0.5962962962962963,0.9230563700251846,0.7509469493883709
