id,constructor,generator,target,length,intensity,style,ema_error,passage_error,passage_v,passage_a,target_v,target_a
graph-walk-psg-calm-7882d64d,graph-walk,psg,calm,medium,plain,unfiltered,0.2488467149750058,0.2064340052164274,0.5465185188214613,0.23478915530857258,0.75,0.2
graph-walk-psg-focused-13e19175,graph-walk,psg,focused,medium,plain,unfiltered,0.1839902051988776,0.059758617162003674,0.6170026972161082,0.5501776121196195,0.65,0.6
graph-walk-psg-excited-f1395e31,graph-walk,psg,excited,medium,plain,unfiltered,0.4784212866421203,0.366781005504583,0.6384000736994041,0.5207375365781959,0.8,0.85
graph-walk-psg-rescue-59a12481,graph-walk,psg,rescue,medium,plain,unfiltered,0.2486891355063623,0.15996925925088962,0.6038915596176642,0.26513438073951234,0.75,0.2
graph-walk-word-template-calm-0f3df287,graph-walk,word-template,calm,medium,plain,unfiltered,0.3563451071942591,0.23299293787501907,0.5538869215463282,0.32579892511089464,0.75,0.2
graph-walk-word-template-focused-c375e4fc,graph-walk,word-template,focused,medium,plain,unfiltered,0.2389291544112176,0.3374091438205271,0.6700607394615264,0.26318774210851836,0.65,0.6
graph-walk-word-template-excited-99ab897e,graph-walk,word-template,excited,medium,plain,unfiltered,0.5006462029183948,0.49933813313161063,0.5627527028862002,0.4106228371756692,0.8,0.85
graph-walk-word-template-rescue-00b1d9e3,graph-walk,word-template,rescue,medium,plain,unfiltered,0.3217247631051695,0.3816105578249181,0.4746923183265662,0.4642580145521502,0.75,0.2
valley-psg-calm-0379d965,valley,psg,calm,medium,plain,unfiltered,0.222298825720599,0.035501519012230344,0.7163081323683013,0.18881000859411218,0.75,0.2
valley-psg-focused-b6b50cae,valley,psg,focused,medium,plain,unfiltered,0.1109957631465294,0.12867014632896387,0.71465157832698,0.48875171922161065,0.65,0.6
valley-psg-excited-deb0fe71,valley,psg,excited,medium,plain,unfiltered,0.3672140869674887,0.2727301984992196,0.7965968171060306,0.5772910351315639,0.8,0.85
valley-word-template-calm-01f005c2,valley,word-template,calm,medium,plain,unfiltered,0.299580589331038,0.07229672922027615,0.6830436358896148,0.22727017346969858,0.75,0.2
valley-word-template-focused-353cd512,valley,word-template,focused,medium,plain,unfiltered,0.2184996922305234,0.25555640713286926,0.6364514957860452,0.34480298736030374,0.65,0.6
