condition,gen,n_hops,drift,ttr,n_tokens,build
polygon_S1,0,4,0.1771515309810638,0.8314606741573034,89,polygon_S1
polygon_S1,1,5,0.185926079750061,0.8275862068965517,87,polygon_S1
polygon_S1,2,4,0.1597622334957122,0.9814814814814816,54,polygon_S1
polygon_S1,3,0,,1.0,2,polygon_S1
polygon_S1,4,4,0.2596491277217865,0.95,40,polygon_S1
polygon_S1,5,7,0.169778510928154,0.9438202247191012,89,polygon_S1
polygon_S1,6,3,0.235273852944374,0.9714285714285714,35,polygon_S1
polygon_S1,7,4,0.4895488917827606,0.8695652173913043,46,polygon_S1
polygon_S1,8,0,,1.0,16,polygon_S1
polygon_S1,9,2,0.2406142354011535,0.9607843137254902,51,polygon_S1
polygon_S1,10,0,,1.0,5,polygon_S1
polygon_S1,11,5,0.2666153013706207,0.8783783783783784,74,polygon_S1
polygon_S1,12,6,0.2610015571117401,0.782608695652174,92,polygon_S1
polygon_S1,13,5,0.1837330758571624,0.8314606741573034,89,polygon_S1
polygon_S1,14,5,0.1839886009693145,0.9239130434782608,92,polygon_S1
polygon_S1,15,5,0.165427029132843,0.9285714285714286,84,polygon_S1
polygon_S1,16,3,0.3083523213863373,0.9672131147540984,61,polygon_S1
polygon_S1,17,4,0.2823832631111145,0.9642857142857144,56,polygon_S1
polygon_S1,18,9,0.3110620081424713,0.8765432098765432,81,polygon_S1
polygon_S1,19,7,0.2590627670288086,0.9178082191780822,73,polygon_S1
polygon_S1,20,0,,1.0,3,polygon_S1
polygon_S1,21,7,0.3289295732975006,0.9195402298850576,87,polygon_S1
polygon_S1,22,6,0.2707036137580871,0.9285714285714286,56,polygon_S1
polygon_S1,23,5,0.2098593711853027,0.9361702127659576,94,polygon_S1
polygon_S1,24,11,0.3610709309577942,0.8987341772151899,79,polygon_S1
polygon_S1,25,3,0.1665406674146652,0.903846153846154,52,polygon_S1
polygon_S1,26,8,0.3215439617633819,0.9294117647058824,85,polygon_S1
