build,family,w,origin,coherence,poem_ttr,n_distinct,n,drift,ci_lo,ci_hi,mean_hops
polygon_S4,polygon,,S4,0.6531416773796082,0.8188976377952756,16,87,0.22536850532238512,0.20759976112936765,0.24376082246716338,3.54
polygon_S3,polygon,,S3,0.6737340688705444,0.8181818181818182,16,86,0.23629550219968307,0.2189432781579536,0.2539173700738438,3.34
polygon_S1,polygon,,S1,0.7159736752510071,0.732824427480916,15,92,0.24294244716672794,0.22573532168955907,0.26040623014711817,4.34
polygon_S2,polygon,,S2,0.759268581867218,0.7480916030534351,15,96,0.22798242652788758,0.2094288377945001,0.2508722334091241,4.43
walk_w000_S1,walk,0.0,S1,0.5442529320716858,0.91,16,87,0.19698218701557182,0.18174851219458826,0.21380012322902336,2.94
walk_w000_S2,walk,0.0,S2,0.5449046492576599,0.7798165137614679,16,95,0.24227864099176308,0.2236659728029841,0.26306756790139174,4.06
walk_w000_S4,walk,0.0,S4,0.5746266841888428,0.8448275862068966,16,90,0.22494380176067352,0.2100875612679455,0.23973987297465404,3.63
walk_w000_S3,walk,0.0,S3,0.58052659034729,0.8403361344537815,16,98,0.23108406897102082,0.2155724951693294,0.2473634659369685,4.26
walk_w040_S3,walk,0.04,S3,0.6707350015640259,0.8048780487804879,16,99,0.22139894292511123,0.20418571130645394,0.24013097523100146,4.26
walk_w040_S2,walk,0.04,S2,0.6726005673408508,0.794392523364486,16,96,0.20637768553569913,0.19261964989515643,0.22096733502112328,4.0
walk_w040_S1,walk,0.04,S1,0.7021874189376831,0.8727272727272727,16,88,0.2210322507572445,0.20374794041907246,0.23911522404417732,3.39
walk_w070_S1,walk,0.07,S1,0.7169536352157593,0.8468468468468469,16,95,0.19338281280116032,0.17883065035272586,0.2087366921062532,3.34
walk_w100_S1,walk,0.1,S1,0.7217702865600586,0.8648648648648649,16,89,0.20668944155567148,0.19358265997653598,0.22028736552495637,3.52
walk_w040_S4,walk,0.04,S4,0.7474279999732971,0.7874015748031497,16,83,0.2049816734639995,0.1903573438884264,0.21991637006671313,2.93
walk_w070_S3,walk,0.07,S3,0.7481043934822083,0.784,16,99,0.22439391414324442,0.20910993567997158,0.239678967089364,4.86
walk_w100_S2,walk,0.1,S2,0.7691866159439087,0.736,16,93,0.21848460535208383,0.20482210259363856,0.23262384404498404,4.33
walk_w070_S2,walk,0.07,S2,0.7740345001220703,0.7372881355932204,16,97,0.21696530797125138,0.2052736000033076,0.22938325611740043,4.88
walk_w070_S4,walk,0.07,S4,0.7843241095542908,0.7441860465116279,16,88,0.21325819990174336,0.19698812996502965,0.2305897575845434,3.44
walk_w100_S4,walk,0.1,S4,0.7892764210700989,0.7322834645669292,16,84,0.21468412991435754,0.19922752810996913,0.23098191288743344,3.48
walk_w100_S3,walk,0.1,S3,0.793864905834198,0.7301587301587301,16,98,0.2225860054699742,0.20879358352371016,0.23671998975760475,4.81
walk_S1,walk,0.3,S1,0.8226633667945862,0.7288135593220338,16,91,0.21468333146729313,0.19991993197332045,0.22994988554740672,3.83
walk_S3,walk,0.3,S3,0.8262787461280823,0.6984126984126984,16,97,0.22635908401811244,0.21095678389802114,0.24200488951479648,4.42
walk_S2,walk,0.3,S2,0.8585121631622314,0.6722689075630253,16,94,0.19393494424033672,0.18387388269159388,0.20500693053126018,4.24
walk_S4,walk,0.3,S4,0.8593612313270569,0.6328125,16,88,0.20158421569927173,0.18672547008080237,0.21681181428192015,3.54
