build,family,w,origin,coherence,poem_ttr,n_distinct,n,drift,ci_lo,ci_hi,mean_hops,analysis_rate
baseline,baseline,,-,,,0,90,0.11112732705142762,0.10156676043031944,0.12109255569262638,2.1,0.0
polygon_S1,polygon,,S1,0.7159736752510071,0.732824427480916,15,73,0.1377947299856029,0.12466715173157927,0.15195809667547272,1.75,0.0
walk_w000_S1,walk,0.0,S1,0.5442529320716858,0.91,16,76,0.12597795904270911,0.11238566541946247,0.14046548300569778,1.76,0.0
walk_w040_S1,walk,0.04,S1,0.7021874189376831,0.8727272727272727,16,77,0.15332630557286275,0.13564752102285238,0.17235823594420763,1.88,0.0
walk_w070_S1,walk,0.07,S1,0.7169536352157593,0.8468468468468469,16,78,0.13245727150486067,0.11948795025833907,0.14647410676981773,1.89,0.0
walk_w100_S1,walk,0.1,S1,0.7217702865600586,0.8648648648648649,16,84,0.1538036172056482,0.12875458964457115,0.18446280207662352,1.74,0.0
walk_S1,walk,0.3,S1,0.8226633667945862,0.7288135593220338,16,76,0.14060815423727036,0.12450588176664161,0.15735574660724713,1.79,0.0
polygon_S2,polygon,,S2,0.759268581867218,0.7480916030534351,15,72,0.1541962909201781,0.13378717032416412,0.1765779345296323,1.67,0.01
walk_w000_S2,walk,0.0,S2,0.5449046492576599,0.7798165137614679,16,72,0.14308402376870313,0.12520236645359545,0.162940965530773,1.72,0.01
walk_w040_S2,walk,0.04,S2,0.6726005673408508,0.794392523364486,16,77,0.12767146721288755,0.11458655627710479,0.14122462371340047,1.54,0.0
walk_w070_S2,walk,0.07,S2,0.7740345001220703,0.7372881355932204,16,68,0.11341194008641384,0.09966616371975226,0.1283564702799434,1.36,0.0
walk_w100_S2,walk,0.1,S2,0.7691866159439087,0.736,16,69,0.13459272758252377,0.12209707736645056,0.14746938082726968,1.6,0.0
walk_S2,walk,0.3,S2,0.8585121631622314,0.6722689075630253,16,74,0.13294801287151672,0.11486579303856234,0.15536412942298763,1.55,0.0
polygon_S3,polygon,,S3,0.6737340688705444,0.8181818181818182,16,66,0.13743485408750447,0.12001885224811056,0.1569145792559015,1.42,0.0
walk_w000_S3,walk,0.0,S3,0.58052659034729,0.8403361344537815,16,70,0.12684250282389778,0.10859397830973778,0.14633516270667316,1.41,0.0
walk_w040_S3,walk,0.04,S3,0.6707350015640259,0.8048780487804879,16,79,0.1529169026998025,0.1353432137967099,0.17157364749125664,1.71,0.0
walk_w070_S3,walk,0.07,S3,0.7481043934822083,0.784,16,76,0.1429498940706253,0.12925994066570543,0.15714345367282234,1.83,0.0
walk_w100_S3,walk,0.1,S3,0.793864905834198,0.7301587301587301,16,85,0.1387185243122718,0.12227540130124373,0.15759725971476118,1.85,0.01
walk_S3,walk,0.3,S3,0.8262787461280823,0.6984126984126984,16,78,0.11930795481953865,0.10778804683150389,0.13201369444051614,1.71,0.0
polygon_S4,polygon,,S4,0.6531416773796082,0.8188976377952756,16,61,0.1810296743375356,0.1492147020995617,0.21858659361290636,1.51,0.0
walk_w000_S4,walk,0.0,S4,0.5746266841888428,0.8448275862068966,16,65,0.11836759448051452,0.10227249731811193,0.13653887499983494,1.26,0.0
walk_w040_S4,walk,0.04,S4,0.7474279999732971,0.7874015748031497,16,69,0.1290242549949798,0.11375505310361801,0.14714293780372192,1.56,0.0
walk_w070_S4,walk,0.07,S4,0.7843241095542908,0.7441860465116279,16,74,0.1238609842351965,0.11079206028198069,0.13828650923898894,1.83,0.0
walk_w100_S4,walk,0.1,S4,0.7892764210700989,0.7322834645669292,16,82,0.12369729832905095,0.11249161439879639,0.13546756034626103,1.94,0.0
walk_S4,walk,0.3,S4,0.8593612313270569,0.6328125,16,70,0.13921037092804908,0.12412467458950621,0.15583106574203287,1.83,0.0
