condition,gen,n_hops,drift,ttr,n_tokens
baseline,0,5,0.164021298289299,0.8461538461538461,91
baseline,1,6,0.17181241512298584,0.8409090909090909,88
baseline,2,9,0.3176761865615845,0.9195402298850575,87
baseline,3,3,0.2496209591627121,0.8627450980392157,51
baseline,4,2,0.32843470573425293,0.9629629629629629,27
baseline,5,6,0.2985295355319977,0.7840909090909091,88
baseline,6,6,0.2133358269929886,0.9090909090909091,66
baseline,7,5,0.21995678544044495,0.8846153846153846,78
baseline,8,4,0.3025415539741516,0.9393939393939394,33
baseline,9,3,0.32917556166648865,0.9487179487179487,39
baseline,10,9,0.2767336070537567,0.8681318681318682,91
baseline,11,7,0.21761389076709747,0.8695652173913043,92
baseline,12,5,0.15956297516822815,0.8854166666666666,96
baseline,13,7,0.2428089678287506,0.8876404494382022,89
baseline,14,7,0.26167091727256775,0.8953488372093024,86
baseline,15,4,0.12782876193523407,0.8315789473684211,95
baseline,16,5,0.1877986192703247,0.7888888888888889,90
baseline,17,8,0.19125023484230042,0.9,90
baseline,18,11,0.2885427176952362,0.8735632183908046,87
baseline,19,5,0.26260828971862793,0.9803921568627451,51
baseline,20,5,0.3045157492160797,0.9285714285714286,84
baseline,21,7,0.22125060856342316,0.8444444444444444,90
baseline,22,7,0.3067752718925476,0.8666666666666667,75
baseline,23,5,0.22504954040050507,0.8977272727272727,88
baseline,24,8,0.31656140089035034,0.9125,80
baseline,25,4,0.15025506913661957,0.8695652173913043,92
baseline,26,8,0.2628539800643921,0.8433734939759037,83
baseline,27,10,0.3047981262207031,0.8928571428571429,84
baseline,28,5,0.1835608333349228,0.9166666666666666,96
baseline,29,4,0.1864549219608307,0.8539325842696629,89
baseline,30,4,0.25388970971107483,0.9583333333333334,96
baseline,31,6,0.216674342751503,0.9375,64
baseline,32,8,0.2531830966472626,0.7611940298507462,67
baseline,33,5,0.13758602738380432,0.9270833333333334,96
baseline,34,6,0.22867946326732635,0.9176470588235294,85
baseline,35,5,0.12682966887950897,0.9222222222222223,90
baseline,36,2,0.2835787534713745,1.0,23
baseline,37,5,0.15845990180969238,0.8241758241758241,91
baseline,38,7,0.18958115577697754,0.8817204301075269,93
baseline,39,5,0.2767714858055115,0.9215686274509803,51
baseline,40,7,0.1839054375886917,0.8404255319148937,94
baseline,41,8,0.2762686610221863,0.9310344827586207,87
baseline,42,6,0.27871981263160706,0.8791208791208791,91
baseline,43,7,0.21972966194152832,0.8279569892473119,93
baseline,44,8,0.30158254504203796,0.8809523809523809,84
baseline,45,5,0.1917283833026886,0.859375,64
baseline,46,7,0.23391911387443542,0.8913043478260869,92
baseline,47,5,0.1810503751039505,0.8152173913043478,92
baseline,48,8,0.35352838039398193,0.9032258064516129,62
baseline,49,5,0.17390458285808563,0.8571428571428571,91
baseline,50,11,0.34996166825294495,0.8765432098765432,81
baseline,51,5,0.19627489149570465,0.8295454545454546,88
baseline,52,11,0.35026633739471436,0.875,88
baseline,53,5,0.2169928103685379,0.8494623655913979,93
baseline,54,13,0.39728063344955444,0.9523809523809523,84
baseline,55,11,0.3307896852493286,0.9204545454545454,88
baseline,56,4,0.15920616686344147,0.9204545454545454,88
baseline,57,6,0.2514367997646332,0.8571428571428571,91
baseline,58,5,0.27541667222976685,0.8351648351648352,91
baseline,59,7,0.2563585340976715,0.7816091954022989,87
baseline,60,4,0.2410554736852646,0.8867924528301887,53
baseline,61,5,0.2499084174633026,0.8723404255319149,94
baseline,62,8,0.2802010178565979,0.8352941176470589,85
baseline,63,5,0.22747007012367249,0.8714285714285714,70
baseline,64,8,0.3072130084037781,0.8470588235294118,85
baseline,65,6,0.2866784632205963,0.9186046511627907,86
baseline,66,9,0.375609815120697,0.9259259259259259,81
baseline,67,12,0.3926379680633545,0.8795180722891566,83
baseline,68,11,0.4103362262248993,0.9078947368421053,76
baseline,69,4,0.17776134610176086,0.8241758241758241,91
baseline,70,2,0.21209347248077393,0.9333333333333333,45
baseline,71,11,0.2695668935775757,0.8666666666666667,90
baseline,72,7,0.21241319179534912,0.896551724137931,87
baseline,73,3,0.13720013201236725,0.9487179487179487,39
baseline,74,6,0.31030699610710144,0.8275862068965517,87
baseline,75,8,0.26955893635749817,0.875,88
baseline,76,7,0.22498810291290283,0.8777777777777778,90
baseline,77,9,0.39529097080230713,0.9125,80
baseline,78,5,0.1329801380634308,0.94,100
baseline,79,7,0.3174975514411926,0.9204545454545454,88
baseline,80,8,0.2220638245344162,0.9101123595505618,89
baseline,81,9,0.2613218128681183,0.85,80
baseline,82,7,0.270310640335083,0.8777777777777778,90
baseline,83,8,0.36038029193878174,0.918918918918919,74
baseline,84,5,0.20595800876617432,0.9080459770114943,87
baseline,85,8,0.26352283358573914,0.8571428571428571,91
baseline,86,7,0.2450539767742157,0.8571428571428571,91
baseline,87,3,0.38947775959968567,0.96875,96
baseline,88,3,0.21143192052841187,0.921875,64
baseline,89,4,0.12894093990325928,0.8469387755102041,98
baseline,90,8,0.21339285373687744,0.8588235294117647,85
baseline,91,6,0.17237971723079681,0.8444444444444444,90
baseline,92,5,0.16557344794273376,0.9452054794520548,73
baseline,93,10,0.2764660716056824,0.8409090909090909,88
baseline,94,5,0.12550994753837585,0.7912087912087912,91
baseline,95,5,0.38906270265579224,0.9361702127659575,47
baseline,96,9,0.49910271167755127,0.9240506329113924,79
baseline,97,5,0.1931859254837036,0.8556701030927835,97
baseline,98,7,0.23193241655826569,0.8617021276595744,94
baseline,99,6,0.2084382325410843,0.8478260869565217,92
semantic,0,0,,1.0,21
semantic,1,2,0.40502896904945374,0.88,25
semantic,2,5,0.22893793880939484,0.7978723404255319,94
semantic,3,4,0.1848723143339157,0.96875,64
semantic,4,3,0.10572562366724014,0.9,100
semantic,5,7,0.2005854994058609,0.9032258064516129,93
semantic,6,7,0.19335149228572845,0.8333333333333334,96
semantic,7,5,0.14843663573265076,0.9021739130434783,92
semantic,8,4,0.1337563544511795,0.8666666666666667,90
semantic,9,0,,1.0,5
semantic,10,5,0.1946651041507721,0.9175257731958762,97
semantic,11,4,0.19790072739124298,0.8913043478260869,92
semantic,12,0,,1.0,5
semantic,13,4,0.17137958109378815,0.9180327868852459,61
semantic,14,3,0.20613150298595428,0.9438202247191011,89
semantic,15,7,0.24791686236858368,0.9222222222222223,90
semantic,16,5,0.1350727379322052,0.945054945054945,91
semantic,17,1,0.12021708488464355,1.0,24
semantic,18,3,0.14223162829875946,0.8571428571428571,84
semantic,19,3,0.16189521551132202,0.9295774647887324,71
semantic,20,5,0.19040235877037048,0.8314606741573034,89
semantic,21,4,0.2281361073255539,0.925531914893617,94
semantic,22,2,0.19094693660736084,0.9375,48
semantic,23,7,0.2006411850452423,0.9222222222222223,90
semantic,24,7,0.24751074612140656,0.9032258064516129,93
semantic,25,4,0.12956508994102478,0.9042553191489362,94
