condition,gen,n_hops,drift,ttr,n_tokens,rule,start,build
polygon_S1,0,4,0.17715153098106384,0.8314606741573034,89,polygon,S1,polygon_S1
polygon_S1,1,5,0.18592607975006104,0.8275862068965517,87,polygon,S1,polygon_S1
polygon_S1,2,4,0.15976223349571228,0.9814814814814815,54,polygon,S1,polygon_S1
polygon_S1,3,0,,1.0,2,polygon,S1,polygon_S1
polygon_S1,4,4,0.2596491277217865,0.95,40,polygon,S1,polygon_S1
polygon_S1,5,7,0.169778510928154,0.9438202247191011,89,polygon,S1,polygon_S1
polygon_S1,6,3,0.23527385294437408,0.9714285714285714,35,polygon,S1,polygon_S1
polygon_S1,7,4,0.4895488917827606,0.8695652173913043,46,polygon,S1,polygon_S1
polygon_S1,8,0,,1.0,16,polygon,S1,polygon_S1
polygon_S1,9,2,0.24061423540115356,0.9607843137254902,51,polygon,S1,polygon_S1
polygon_S1,10,0,,1.0,5,polygon,S1,polygon_S1
polygon_S1,11,5,0.2666153013706207,0.8783783783783784,74,polygon,S1,polygon_S1
polygon_S1,12,6,0.2610015571117401,0.782608695652174,92,polygon,S1,polygon_S1
polygon_S1,13,5,0.18373307585716248,0.8314606741573034,89,polygon,S1,polygon_S1
polygon_S1,14,5,0.18398860096931458,0.9239130434782609,92,polygon,S1,polygon_S1
polygon_S1,15,5,0.16542702913284302,0.9285714285714286,84,polygon,S1,polygon_S1
polygon_S1,16,3,0.3083523213863373,0.9672131147540983,61,polygon,S1,polygon_S1
polygon_S1,17,4,0.2823832631111145,0.9642857142857143,56,polygon,S1,polygon_S1
polygon_S1,18,9,0.3110620081424713,0.8765432098765432,81,polygon,S1,polygon_S1
polygon_S1,19,7,0.2590627670288086,0.9178082191780822,73,polygon,S1,polygon_S1
polygon_S1,20,0,,1.0,3,polygon,S1,polygon_S1
polygon_S1,21,7,0.3289295732975006,0.9195402298850575,87,polygon,S1,polygon_S1
polygon_S1,22,6,0.27070361375808716,0.9285714285714286,56,polygon,S1,polygon_S1
polygon_S1,23,5,0.20985937118530273,0.9361702127659575,94,polygon,S1,polygon_S1
polygon_S1,24,11,0.3610709309577942,0.8987341772151899,79,polygon,S1,polygon_S1
polygon_S1,25,3,0.16654066741466522,0.9038461538461539,52,polygon,S1,polygon_S1
polygon_S1,26,8,0.32154396176338196,0.9294117647058824,85,polygon,S1,polygon_S1
polygon_S1,27,8,0.4487867057323456,0.9824561403508771,57,polygon,S1,polygon_S1
polygon_S1,28,3,0.20593798160552979,0.9456521739130435,92,polygon,S1,polygon_S1
polygon_S1,29,2,0.15986737608909607,0.9428571428571428,70,polygon,S1,polygon_S1
polygon_S1,30,4,0.2219923436641693,0.8666666666666667,45,polygon,S1,polygon_S1
polygon_S1,31,9,0.22508399188518524,0.8888888888888888,90,polygon,S1,polygon_S1
polygon_S1,32,3,0.12491335719823837,0.9032258064516129,93,polygon,S1,polygon_S1
polygon_S1,33,3,0.2538561522960663,0.9696969696969697,33,polygon,S1,polygon_S1
polygon_S1,34,1,0.4006756544113159,0.967741935483871,31,polygon,S1,polygon_S1
polygon_S1,35,7,0.23568680882453918,0.84375,64,polygon,S1,polygon_S1
polygon_S1,36,4,0.251322865486145,0.9375,64,polygon,S1,polygon_S1
polygon_S1,37,1,0.1535857915878296,0.9333333333333333,30,polygon,S1,polygon_S1
polygon_S1,38,3,0.21373051404953003,0.8571428571428571,49,polygon,S1,polygon_S1
polygon_S1,39,4,0.19446568191051483,0.7956989247311828,93,polygon,S1,polygon_S1
polygon_S1,40,5,0.18436983227729797,0.8829787234042553,94,polygon,S1,polygon_S1
polygon_S1,41,3,0.19568681716918945,0.9523809523809523,63,polygon,S1,polygon_S1
polygon_S1,42,5,0.22128233313560486,0.9540229885057471,87,polygon,S1,polygon_S1
polygon_S1,43,7,0.2430259883403778,0.9069767441860465,86,polygon,S1,polygon_S1
polygon_S1,44,6,0.182949498295784,0.9052631578947369,95,polygon,S1,polygon_S1
polygon_S1,45,4,0.16883020102977753,0.8695652173913043,92,polygon,S1,polygon_S1
polygon_S1,46,2,0.1091335117816925,0.9036144578313253,83,polygon,S1,polygon_S1
polygon_S1,47,4,0.16020648181438446,0.7912087912087912,91,polygon,S1,polygon_S1
polygon_S1,48,5,0.3276765048503876,0.9791666666666666,48,polygon,S1,polygon_S1
polygon_S1,49,1,0.1980230212211609,1.0,24,polygon,S1,polygon_S1
polygon_S1,50,0,,0.9473684210526315,19,polygon,S1,polygon_S1
polygon_S1,51,6,0.17287127673625946,0.9111111111111111,90,polygon,S1,polygon_S1
polygon_S1,52,0,,1.0,1,polygon,S1,polygon_S1
polygon_S1,53,2,0.07522156834602356,0.865979381443299,97,polygon,S1,polygon_S1
polygon_S1,54,6,0.1902853101491928,0.8947368421052632,95,polygon,S1,polygon_S1
polygon_S1,55,2,0.35178181529045105,1.0,25,polygon,S1,polygon_S1
polygon_S1,56,0,,0.9545454545454546,22,polygon,S1,polygon_S1
polygon_S1,57,5,0.24889421463012695,0.8617021276595744,94,polygon,S1,polygon_S1
