build,kind,line_coherence,entropy,d_entropy,participation,self_perplexity,n_distinct
stock:valley,stock,0.6173462867736816,4.63704776763916,1.3454179763793945,19.780689239501953,92.82040023803711,24
stock:polygon-pca,stock,0.7025543451309204,5.784054756164551,2.492424964904785,73.13597869873047,106.23508071899414,23
stock:harmonic-prime,stock,0.8333851099014282,5.726903438568115,2.4352736473083496,71.02489471435547,31.935556888580322,21
stock:harmonic-golden,stock,0.848314106464386,5.650541305541992,2.3589115142822266,68.40933227539062,34.232118129730225,21
stock:harmonic-organic,stock,0.8741361498832703,5.702352523803711,2.4107227325439453,68.1089859008789,32.26834535598755,21
schedule:valley3,schedule,0.9248345494270325,5.363736152648926,2.07210636138916,37.234458923339844,33.526565074920654,24
schedule:oscillate,schedule,0.9344359040260315,5.278881549835205,1.9872517585754395,43.474727630615234,37.802297592163086,24
schedule:linear,schedule,0.9347867369651794,5.337159156799316,2.045529365539551,33.09507751464844,41.974759101867676,24
stock:graph-walk,stock,0.9472503662109375,5.913120269775391,2.621490478515625,67.00957489013672,7.299469709396362,6
schedule:descend,schedule,0.9477208256721497,5.249330997467041,1.9577012062072754,48.604736328125,35.34367656707764,24
schedule:static,schedule,0.95070880651474,5.187322616577148,1.8956928253173828,30.267017364501953,30.57543659210205,24
schedule:random_band,schedule,0.9560312032699585,4.935588836669922,1.6439590454101562,38.02490234375,29.419118404388428,24
