kind,label,n_lines,present,order,probe_v,probe_a,deep_v,deep_a,panas_pa,panas_na,panas_inspired,panas_interested,basq_v,basq_a
original,full,8,11111111,0-1-2-3-4-5-6-7,0.6527492406894205,0.5563136792065781,0.7760967328844672,0.49539019307451415,3.368958757173993,1.9593075989130502,4.043502155271234,3.656169525396324,0.475,0.568
original,full_dup,8,11111111,0-1-2-3-4-5-6-7,0.6527492406894205,0.5563136792065781,0.7760967328844672,0.49539019307451415,3.368958757173993,1.9593075989130502,4.043502155271234,3.656169525396324,0.475,0.568
loo,drop0,7,01111111,1-2-3-4-5-6-7,0.6723659731021931,0.5616413848694074,0.7586105056540893,0.5036972477848722,3.3833802030689064,1.7251721263545872,4.054884901360183,3.8246371096592338,0.459375,0.6699999999999999
loo,drop1,7,10111111,0-2-3-4-5-6-7,0.672606504375395,0.56962176065286,0.790787731428949,0.48405418431945324,3.201077130581723,1.8911639063729209,3.5602193975270184,3.468766999576321,0.475,0.596
loo,drop2,7,11011111,0-1-3-4-5-6-7,0.6582990974509818,0.5569083311723456,0.7374255188054688,0.47267321367076875,3.1728090595128027,1.995042512649265,3.787439297496886,3.27820954098976,0.46388888888888885,0.5977777777777777
loo,drop3,7,11101111,0-1-2-4-5-6-7,0.6634368921424522,0.5491411672681046,0.7458002270393018,0.49964026838146386,3.4183377263724446,1.937840798552103,4.081449008432475,3.774755287695306,0.49166666666666664,0.6
loo,drop4,7,11110111,0-1-2-3-5-6-7,0.6486273352827223,0.5672563442035682,0.7191684534125742,0.4843160184748716,3.2083469895726466,1.9398302168070434,3.833436130722835,3.4220611029832266,0.4840909090909091,0.6272727272727272
loo,drop5,7,11111011,0-1-2-3-4-6-7,0.6207325898103594,0.5746262170063842,0.7490878102465406,0.5110779664260229,3.2754622165253218,2.0165627065471847,3.746302672984672,3.4576744786746456,0.475,0.568
loo,drop6,7,11111101,0-1-2-3-4-5-7,0.6519137918792972,0.5119417130161819,0.7421474571356836,0.48997276204365803,3.3286335499269333,1.9643190123249141,4.183747885862334,3.6136784077247817,0.475,0.568
loo,drop7,7,11111110,0-1-2-3-4-5-6,0.6377847915709604,0.504256012606986,0.7810446881120165,0.40835071191290867,3.11865302200128,1.8906557471954937,3.8306999071051444,3.4836071524081627,0.4840909090909091,0.5690909090909091
single,only0,1,10000000,0,0.5967112349572544,0.4949954217198621,0.7104439840602342,0.35249078363847347,2.555220060993334,1.8919395099304854,2.8252501647960173,2.3494986959968975,0.475,0.584
single,only1,1,01000000,1,0.5440811950264438,0.4278453225677705,0.5697166211027993,0.3369361113047594,2.866022275977378,2.2302238282992968,3.476248056220236,2.7998621315680916,0.45595238095238094,0.6466666666666667
single,only2,1,00100000,2,0.5894498344888481,0.46072710432451613,0.5822107860913895,0.3652340296858719,2.824183606853979,1.8216167634798652,2.7969778229268867,2.738921254577346,0.4480769230769231,0.5615384615384615
single,only3,1,00010000,3,0.5456252675126195,0.5134612179039034,0.727163418208143,0.34069066966410366,2.4666715693324015,1.908450402393181,2.2440263888511494,2.427450069576274,0.46911764705882353,0.6341176470588235
single,only4,1,00001000,4,0.6320804261554493,0.478366753157085,0.7475461698178322,0.39893248710973866,3.0404127210398926,2.040925776833106,2.78600635763355,2.8736584676281236,0.4483333333333333,0.5746666666666667
single,only5,1,00000100,5,0.670343912921356,0.4400651476462132,0.7683889732868158,0.2602269076676881,2.8111984729280763,2.1965551913457753,2.788400981495914,2.7938917403427626,0.475,0.5675
single,only6,1,00000010,6,0.629120715262969,0.5592987104186173,0.7716453942125484,0.4839091092080507,2.3692611353280917,2.0257491854703087,2.248891928382613,2.5852151586520753,0.47833333333333333,0.6093333333333334
single,only7,1,00000001,7,0.6342559054732451,0.580394296403993,0.636930498878007,0.6351800345451473,2.61378823556135,1.82705144101254,2.539400201752686,2.5638487566751964,0.47833333333333333,0.6093333333333334
subset,s00,2,10000010,0-6,0.6420563044115131,0.5747686338325144,0.7310485544791281,0.41956232753544465,2.3973344273073987,1.8120248151622718,2.496470424315524,2.0814934153211224,0.4673076923076923,0.6292307692307693
subset,s01,5,11110010,0-1-2-3-6,0.5736458637023318,0.5343020711388659,0.7055122620660785,0.420169152683747,2.7592688003376695,1.9112997757602497,3.3142906261381544,2.8669381270064442,0.4840909090909091,0.5690909090909091
subset,s02,5,10011110,0-3-4-5-6,0.678761324973167,0.5299763147164097,0.7999247752758634,0.3869974539401004,2.5553330653112214,1.8564044365697896,2.7091057033068844,2.7079815393791016,0.475,0.596
subset,s03,4,01010110,1-3-5-6,0.6491519900863159,0.5411696144285026,0.7157442609788737,0.3587057834734186,2.921348975292917,1.7979401301852938,3.495400976529421,3.207093616406623,0.47500000000000003,0.6155555555555555
subset,s04,3,00011001,3-4-7,0.6508876768967305,0.5818732405183566,0.7153937298512413,0.5324165431502313,2.5639966992753513,1.8825693238124515,2.3865588520184375,2.7866907956841707,0.4788461538461538,0.6661538461538462
subset,s05,7,11111110,0-1-2-3-4-5-6,0.6377847915709604,0.504256012606986,0.7810446881120165,0.40835071191290867,3.11865302200128,1.8906557471954937,3.8306999071051444,3.4836071524081627,0.4840909090909091,0.5690909090909091
subset,s06,6,10101111,0-2-4-5-6-7,0.6948523525115721,0.5698181712504401,0.7704712218504542,0.4779441953669141,3.222744697444172,1.876317260838621,3.728945992504487,3.5828092077660374,0.4840909090909091,0.6272727272727272
subset,s07,2,10000001,0-7,0.6502403278277237,0.5925194066574984,0.6470201516840713,0.5014035383618247,2.568022570751072,1.8172549200101886,2.6205300137735454,2.4307586226359814,0.525,0.73
subset,s08,3,01100001,1-2-7,0.612104836411382,0.5415784362355365,0.6656192618102015,0.49866226914520495,3.076509208750341,1.8461078783803782,3.4071792231858846,3.5202340887077233,0.4788461538461538,0.6446153846153846
subset,s09,2,01001000,1-4,0.6151946071781922,0.4477458121090344,0.6720270040848167,0.33113555150850404,2.691069080812586,1.8492778879568719,3.2451747183309605,3.0534055182876747,0.42794117647058827,0.5752941176470587
subset,s10,7,11111110,0-1-2-3-4-5-6,0.6377847915709604,0.504256012606986,0.7810446881120165,0.40835071191290867,3.11865302200128,1.8906557471954937,3.8306999071051444,3.4836071524081627,0.4840909090909091,0.5690909090909091
subset,s11,6,11010111,0-1-3-5-6-7,0.6438051641824721,0.5755590979801499,0.6748310758790289,0.4677600856033424,2.8958489008199435,1.9791209029914605,3.151586488246328,2.916799445653229,0.4375,0.6133333333333333
subset,s12,7,11011111,0-1-3-4-5-6-7,0.6582990974509818,0.5569083311723456,0.7374255188054688,0.47267321367076875,3.1728090595128027,1.995042512649265,3.787439297496886,3.27820954098976,0.46388888888888885,0.5977777777777777
subset,s13,6,11001111,0-1-4-5-6-7,0.667275627629542,0.5581346549716012,0.6997480185969476,0.46803981424317137,3.2415911026700384,2.0103568750221523,3.6866039998230034,3.5679877095759487,0.475,0.632
subset,s14,7,10111111,0-2-3-4-5-6-7,0.672606504375395,0.56962176065286,0.790787731428949,0.48405418431945324,3.201077130581723,1.8911639063729209,3.5602193975270184,3.468766999576321,0.475,0.596
subset,s15,6,10101111,0-2-4-5-6-7,0.6948523525115721,0.5698181712504401,0.7704712218504542,0.4779441953669141,3.222744697444172,1.876317260838621,3.728945992504487,3.5828092077660374,0.4840909090909091,0.6272727272727272
subset,s16,7,11101111,0-1-2-4-5-6-7,0.6634368921424522,0.5491411672681046,0.7458002270393018,0.49964026838146386,3.4183377263724446,1.937840798552103,4.081449008432475,3.774755287695306,0.49166666666666664,0.6
subset,s17,6,10011111,0-3-4-5-6-7,0.6862312501078695,0.5782865015639058,0.7724179720828164,0.47018755462260825,2.975860337116079,1.9043671597484892,2.694302769174779,3.206663770584629,0.475,0.596
subset,s18,3,00100101,2-5-7,0.6865788441628886,0.5403381680700994,0.7004238378896294,0.49362998732110297,3.0043238371781142,1.8649854957074041,3.139916845616201,3.5422662463674937,0.43863636363636366,0.66
subset,s19,2,00001001,4-7,0.6760025531494391,0.5723042550147001,0.7118402914290552,0.5659486609060964,2.9286094934693003,1.8613841570309073,2.792978297077863,2.9634420964312422,0.4673076923076923,0.6292307692307693
subset,s20,7,11111110,0-1-2-3-4-5-6,0.6377847915709604,0.504256012606986,0.7810446881120165,0.40835071191290867,3.11865302200128,1.8906557471954937,3.8306999071051444,3.4836071524081627,0.4840909090909091,0.5690909090909091
subset,s21,6,10110111,0-2-3-5-6-7,0.6702742693780525,0.585547295412715,0.7484906376453193,0.47507066000510023,3.0662145856721503,1.9046242582057424,3.514529709997953,3.186024561384208,0.4840909090909091,0.6272727272727272
subset,s22,2,01000001,1-7,0.6215882270302618,0.5460449181392399,0.5971747320117493,0.5176194604767101,2.806536012654703,1.9259800100218722,2.441688566547583,2.719963986352064,0.4673076923076923,0.6292307692307693
subset,s23,7,10111111,0-2-3-4-5-6-7,0.672606504375395,0.56962176065286,0.790787731428949,0.48405418431945324,3.201077130581723,1.8911639063729209,3.5602193975270184,3.468766999576321,0.475,0.596
shuffle,p0,8,11111111,0-2-3-7-1-4-5-6,0.6607950142296897,0.5296633298329273,0.7599533920417041,0.4448631407035949,3.1422596406856464,1.9295299636869494,3.807077570782029,3.4958020269559187,0.475,0.568
shuffle,p1,8,11111111,2-5-0-1-3-6-7-4,0.6526723315583974,0.5387843609422786,0.7848592128374159,0.44172096897352864,3.2379904404956044,1.7237671499281209,4.08854922561653,3.720426989022701,0.47045454545454546,0.5254545454545455
shuffle,p2,8,11111111,1-2-6-5-7-3-4-0,0.6801873648671798,0.5303787178822341,0.7881385869599362,0.45605964792572895,3.1277729400407948,1.7289416800098536,3.792180144873214,3.5434509364318925,0.4480769230769231,0.5615384615384615
shuffle,p3,8,11111111,6-3-1-7-5-4-0-2,0.6612964482177689,0.5136419894081684,0.7966404341558146,0.4899160515186439,3.390509532887381,1.7320856859449698,4.053324281654369,3.9431845216154704,0.475,0.568
shuffle,p4,8,11111111,2-3-7-4-1-6-0-5,0.6550870233415472,0.5186863321382699,0.7499476916599679,0.4576754640186445,3.238465002216941,1.7244310966535465,4.043015395602685,3.736913766663589,0.475,0.568
