constructor,model,n,ema,ema_sd,cal,cal_sd,ema_rank,ema_rank_sd,cal_rank,cal_rank_sd,rank_gap
valley,gemma9b,12,0.13573926853334836,0.019466434253895295,0.13958978788569154,0.008139606472749512,1.4166666666666667,0.7929614610987591,3.4166666666666665,1.8319554050414564,-1.9999999999999998
harmonic-golden,gemma9b,12,0.16019529870761914,0.011800627385640717,0.15983983323877843,0.04525492131031122,3.25,1.2154310870109943,4.5,1.0871146130092177,-1.25
harmonic-organic,gemma9b,12,0.16769472732017474,0.02252492281712219,0.148177582065481,0.050147703638929626,3.3333333333333335,1.6696942198734437,3.9166666666666665,1.8319554050414562,-0.583333333333333
polygon-pca,gemma9b,12,0.1641338680179335,0.023209092424034797,0.09487706860484561,0.050976649238206925,3.5833333333333335,1.7298624923456323,2.0833333333333335,1.4433756729740643,1.5
harmonic-prime,gemma9b,12,0.16972607057256628,0.01380794636836311,0.15278037173184514,0.052972157689378845,4.166666666666667,0.937436866561092,4.166666666666667,1.6422453217986943,0.0
graph-walk,gemma9b,12,0.20453588753055743,0.028479754229122956,0.12102400328411106,0.03934943141767202,5.25,1.2880570286640687,2.9166666666666665,1.4433756729740643,2.3333333333333335
valley,llama,12,0.22224442105313202,0.01905280718707436,0.17960328078913776,0.05341568852607985,1.9166666666666667,1.3113721705515067,4.916666666666667,1.5642792899510296,-3.0
harmonic-golden,llama,12,0.2503836897344923,0.022480416126475024,0.15367268484450353,0.05757078057751659,3.0833333333333335,1.5642792899510296,3.5833333333333335,1.2401124093721456,-0.5
harmonic-prime,llama,12,0.25365032325679693,0.018414333524099342,0.1375035442193935,0.05211575439684661,3.1666666666666665,0.8348471099367218,2.9166666666666665,1.2401124093721456,0.25
harmonic-organic,llama,12,0.25551754522695175,0.024251632153787565,0.13042985836539278,0.05718300686885138,3.5833333333333335,1.378954368902449,2.4166666666666665,1.4433756729740643,1.166666666666667
polygon-pca,llama,12,0.2539346438634082,0.036424457183557135,0.12451922143731627,0.05305408236105214,4.0,2.215646837627989,3.3333333333333335,2.1461734799546393,0.6666666666666665
graph-walk,llama,12,0.2860561710757356,0.028049616877314568,0.1531886506421505,0.046700895905375156,5.25,0.8660254037844387,3.8333333333333335,1.6966991126265962,1.4166666666666665
