model,constructor,length,start_v,start_a,variant,ema_error,passage_error,passage_v,passage_a,n_unique_lines
gemma9b,valley,short,0.5,0.5,"short/(0.5, 0.5)",0.14043435436794138,0.14634158865998198,0.6015722001442764,0.4619036250560452,8
gemma9b,valley,short,0.25,0.8,"short/(0.25, 0.8)",0.14043435436794138,0.14634158865998198,0.6015722001442764,0.4619036250560452,8
gemma9b,valley,short,0.75,0.25,"short/(0.75, 0.25)",0.14043435436794138,0.14634158865998198,0.6015722001442764,0.4619036250560452,8
gemma9b,valley,short,0.4,0.65,"short/(0.4, 0.65)",0.14043435436794138,0.14634158865998198,0.6015722001442764,0.4619036250560452,8
gemma9b,valley,medium,0.5,0.5,"medium/(0.5, 0.5)",0.11093037074204572,0.12867014632896387,0.71465157832698,0.48875171922161065,24
gemma9b,valley,medium,0.25,0.8,"medium/(0.25, 0.8)",0.11093037074204572,0.12867014632896387,0.71465157832698,0.48875171922161065,24
gemma9b,valley,medium,0.75,0.25,"medium/(0.75, 0.25)",0.11093037074204572,0.12867014632896387,0.71465157832698,0.48875171922161065,24
gemma9b,valley,medium,0.4,0.65,"medium/(0.4, 0.65)",0.11093037074204572,0.12867014632896387,0.71465157832698,0.48875171922161065,24
gemma9b,valley,long,0.5,0.5,"long/(0.5, 0.5)",0.15585308049005817,0.14375762866812897,0.6862695120881286,0.46089292507865476,56
gemma9b,valley,long,0.25,0.8,"long/(0.25, 0.8)",0.15585308049005817,0.14375762866812897,0.6862695120881286,0.46089292507865476,56
gemma9b,valley,long,0.75,0.25,"long/(0.75, 0.25)",0.15585308049005817,0.14375762866812897,0.6862695120881286,0.46089292507865476,56
gemma9b,valley,long,0.4,0.65,"long/(0.4, 0.65)",0.15585308049005817,0.14375762866812897,0.6862695120881286,0.46089292507865476,56
gemma9b,harmonic-golden,short,0.5,0.5,"short/(0.5, 0.5)",0.17009617708549166,0.07827576197769805,0.685682114493022,0.5303301957911742,8
gemma9b,harmonic-golden,short,0.25,0.8,"short/(0.25, 0.8)",0.12624233786318495,0.11125950040105696,0.6767041506493298,0.49199275594854436,8
gemma9b,harmonic-golden,short,0.75,0.25,"short/(0.75, 0.25)",0.15681883007909472,0.1256917229234843,0.656678504863751,0.4744858303447025,8
gemma9b,harmonic-golden,short,0.4,0.65,"short/(0.4, 0.65)",0.15951797722444555,0.10972471419792339,0.6056655517229964,0.4996308334109042,8
gemma9b,harmonic-golden,medium,0.5,0.5,"medium/(0.5, 0.5)",0.16026033482510338,0.1903379870071084,0.717694986417045,0.422106947544559,24
