model,constructor,length,start_v,start_a,variant,ema_error,passage_error,passage_v,passage_a,n_unique_lines
llama,valley,short,0.5,0.5,"short/(0.5, 0.5)",0.24614887329378687,0.11026720465333396,0.7127818270340281,0.5093506833101892,8
llama,valley,short,0.25,0.8,"short/(0.25, 0.8)",0.24614887329378687,0.11026720465333396,0.7127818270340281,0.5093506833101892,8
llama,valley,short,0.75,0.25,"short/(0.75, 0.25)",0.24614887329378687,0.11026720465333396,0.7127818270340281,0.5093506833101892,8
llama,valley,short,0.4,0.65,"short/(0.4, 0.65)",0.24614887329378687,0.11026720465333396,0.7127818270340281,0.5093506833101892,8
llama,valley,medium,0.5,0.5,"medium/(0.5, 0.5)",0.21869284265509137,0.19645052740292965,0.641796585816956,0.4037208271042731,24
llama,valley,medium,0.25,0.8,"medium/(0.25, 0.8)",0.21869284265509137,0.19645052740292965,0.641796585816956,0.4037208271042731,24
llama,valley,medium,0.75,0.25,"medium/(0.75, 0.25)",0.21869284265509137,0.19645052740292965,0.641796585816956,0.4037208271042731,24
llama,valley,medium,0.4,0.65,"medium/(0.4, 0.65)",0.21869284265509137,0.19645052740292965,0.641796585816956,0.4037208271042731,24
llama,valley,long,0.5,0.5,"long/(0.5, 0.5)",0.20189154721051794,0.2320921103111497,0.6339235384251305,0.36846534805365605,56
llama,valley,long,0.25,0.8,"long/(0.25, 0.8)",0.20189154721051794,0.2320921103111497,0.6339235384251305,0.36846534805365605,56
llama,valley,long,0.75,0.25,"long/(0.75, 0.25)",0.20189154721051794,0.2320921103111497,0.6339235384251305,0.36846534805365605,56
llama,valley,long,0.4,0.65,"long/(0.4, 0.65)",0.20189154721051794,0.2320921103111497,0.6339235384251305,0.36846534805365605,56
llama,harmonic-golden,short,0.5,0.5,"short/(0.5, 0.5)",0.25639337314161925,0.07965450321081356,0.6178544568190429,0.5271199345817889,8
llama,harmonic-golden,short,0.25,0.8,"short/(0.25, 0.8)",0.22883989552992157,0.04429679010418881,0.6244252132457029,0.5638318386421595,8
llama,harmonic-golden,short,0.75,0.25,"short/(0.75, 0.25)",0.25421405301952743,0.21901700116402464,0.6121080880076287,0.38428572183454157,8
llama,harmonic-golden,short,0.4,0.65,"short/(0.4, 0.65)",0.22637693602449538,0.11274238601900008,0.6578294274515386,0.48752980096470744,8
llama,harmonic-golden,medium,0.5,0.5,"medium/(0.5, 0.5)",0.21813638300669191,0.19010214264073266,0.614360575400728,0.41326849207798305,24
llama,harmonic-golden,medium,0.25,0.8,"medium/(0.25, 0.8)",0.2376841680624408,0.1036543328413694,0.6284331394200298,0.4986141467387411,24
llama,harmonic-golden,medium,0.75,0.25,"medium/(0.75, 0.25)",0.287780721559957,0.2004113142588408,0.6484455596541281,0.3995947141461409,24
llama,harmonic-golden,medium,0.4,0.65,"medium/(0.4, 0.65)",0.2623191878836928,0.15299105457635848,0.7037335985098965,0.4567555824069798,24
llama,harmonic-golden,long,0.5,0.5,"long/(0.5, 0.5)",0.24113609382113246,0.21415029556647786,0.5843081607471791,0.39617426230529335,56
llama,harmonic-golden,long,0.25,0.8,"long/(0.25, 0.8)",0.260721012881366,0.16443156541548729,0.6136038767025933,0.43964707076605164,56
llama,harmonic-golden,long,0.75,0.25,"long/(0.75, 0.25)",0.2886981449412777,0.21094576341205487,0.696437797405278,0.39422914182605695,56
llama,harmonic-golden,long,0.4,0.65,"long/(0.4, 0.65)",0.2423043069417857,0.1516750689246945,0.6475061902526259,0.4483454338100737,56
llama,harmonic-prime,short,0.5,0.5,"short/(0.5, 0.5)",0.25603682563623975,0.08071952496062675,0.6182659314067948,0.5257801199112327,8
llama,harmonic-prime,short,0.25,0.8,"short/(0.25, 0.8)",0.23471784210871352,0.06090405175701393,0.6668704452958697,0.5414791353794213,8
llama,harmonic-prime,short,0.75,0.25,"short/(0.75, 0.25)",0.2960839938772713,0.1385375858900829,0.5843090720527155,0.4780271969262132,8
llama,harmonic-prime,short,0.4,0.65,"short/(0.4, 0.65)",0.2411131558104675,0.0815870446648131,0.641137188713214,0.518895768092947,8
llama,harmonic-prime,medium,0.5,0.5,"medium/(0.5, 0.5)",0.25993811300466224,0.2025638721370245,0.6150721498662173,0.4004701336135945,24
llama,harmonic-prime,medium,0.25,0.8,"medium/(0.25, 0.8)",0.2468525585258972,0.09826535416880412,0.6578719074288255,0.5020504573601667,24
llama,harmonic-prime,medium,0.75,0.25,"medium/(0.75, 0.25)",0.24440280615504428,0.17552076844756948,0.6742671681556264,0.4261648921934011,24
llama,harmonic-prime,medium,0.4,0.65,"medium/(0.4, 0.65)",0.22767568873322303,0.09374811183560258,0.6923690156029045,0.5163724029426799,24
llama,harmonic-prime,long,0.5,0.5,"long/(0.5, 0.5)",0.2755041874233711,0.21069347513764394,0.5965493450985202,0.3961991953985954,56
llama,harmonic-prime,long,0.25,0.8,"long/(0.25, 0.8)",0.26002467681766706,0.17295042836567004,0.6265279068660713,0.42864974025178443,56
llama,harmonic-prime,long,0.75,0.25,"long/(0.75, 0.25)",0.2470681953797719,0.17559918657542575,0.6553258335994914,0.4244815969123986,56
llama,harmonic-prime,long,0.4,0.65,"long/(0.4, 0.65)",0.25438583560923456,0.15895312669244535,0.6562225594076423,0.44116871769162425,56
llama,harmonic-organic,short,0.5,0.5,"short/(0.5, 0.5)",0.2584146100402729,0.07351494551833325,0.6119739381880691,0.5370836600107832,8
llama,harmonic-organic,short,0.25,0.8,"short/(0.25, 0.8)",0.23508502544588494,0.04165626027961261,0.6747950328457025,0.5665268709759101,8
llama,harmonic-organic,short,0.75,0.25,"short/(0.75, 0.25)",0.2987229327187688,0.14111025407305847,0.5847518783152933,0.4748809110439945,8
llama,harmonic-organic,short,0.4,0.65,"short/(0.4, 0.65)",0.2151515845939033,0.06572023051312907,0.6519295116194329,0.5343081003196795,8
llama,harmonic-organic,medium,0.5,0.5,"medium/(0.5, 0.5)",0.24897738858079524,0.14928196988914372,0.6077252847344204,0.45682893105380057,24
llama,harmonic-organic,medium,0.25,0.8,"medium/(0.25, 0.8)",0.25924987773109265,0.07545200241321894,0.664018895447289,0.5258617828741318,24
llama,harmonic-organic,medium,0.75,0.25,"medium/(0.75, 0.25)",0.2946929717894915,0.13534890479812745,0.7016774456185005,0.47490496554858985,24
llama,harmonic-organic,medium,0.4,0.65,"medium/(0.4, 0.65)",0.2447206596808368,0.12406479910708947,0.7026494031597759,0.48766071602328126,24
llama,harmonic-organic,long,0.5,0.5,"long/(0.5, 0.5)",0.2651181371889412,0.22674539930209184,0.5927308223960921,0.38060602241347385,56
llama,harmonic-organic,long,0.25,0.8,"long/(0.25, 0.8)",0.22970345579249388,0.1506915651410162,0.647287806774068,0.449332844280665,56
llama,harmonic-organic,long,0.75,0.25,"long/(0.75, 0.25)",0.25240852458834856,0.18266898693229483,0.6767234872601617,0.4192963364634605,56
llama,harmonic-organic,long,0.4,0.65,"long/(0.4, 0.65)",0.263965374572591,0.19890298241759793,0.6629466746817022,0.4015188169389817,56
llama,graph-walk,short,0.5,0.5,"short/(0.5, 0.5)",0.2640006380075873,0.1047317976201496,0.5675265105103948,0.5354486796095079,7
llama,graph-walk,short,0.25,0.8,"short/(0.25, 0.8)",0.25548566938912887,0.08269856503292707,0.5994149140028164,0.5345767492922981,4
llama,graph-walk,short,0.75,0.25,"short/(0.75, 0.25)",0.31253232859961566,0.13723555511663257,0.550786804917533,0.5051825991196836,6
llama,graph-walk,short,0.4,0.65,"short/(0.4, 0.65)",0.2421428805115191,0.12913609046611363,0.6682539893730541,0.47216056268568485,5
llama,graph-walk,medium,0.5,0.5,"medium/(0.5, 0.5)",0.27192504514069615,0.13659575800558807,0.5463774875107086,0.5110012583767174,7
llama,graph-walk,medium,0.25,0.8,"medium/(0.25, 0.8)",0.2924326471919919,0.1235977754296791,0.5804587337963235,0.4978216148789051,4
llama,graph-walk,medium,0.75,0.25,"medium/(0.75, 0.25)",0.27515450927178065,0.2088507321126541,0.5059843272628929,0.44874487013634856,6
llama,graph-walk,medium,0.4,0.65,"medium/(0.4, 0.65)",0.2582098087146758,0.1965952548592766,0.6500443735269255,0.4034047501484992,5
llama,graph-walk,long,0.5,0.5,"long/(0.5, 0.5)",0.31070205173396764,0.13744171860877538,0.542771499868034,0.5140216610210295,7
llama,graph-walk,long,0.25,0.8,"long/(0.25, 0.8)",0.31205721050028407,0.1397478998433068,0.5926470482146785,0.4725632924463069,4
