id,constructor,target,probe_v,probe_a,gen_valence,gen_sample
graph-walk-psg-calm-7882d64d,graph-walk,calm,0.5706188238190653,0.3868177507038729,0.6535,"(Note: I'll stop here, but feel free to continue if you'd like!)"
graph-walk-psg-focused-13e19175,graph-walk,focused,0.5787123041511264,0.46532436817756917,0.5964545454545453,"Note: I've kept some parts in their original form, while others have been modifi"
graph-walk-psg-excited-f1395e31,graph-walk,excited,0.6044470339912054,0.45171396968405464,0.587,"Note: The text is in an ancient language, and it's not clear what ""Aquiline"" ref"
graph-walk-psg-rescue-59a12481,graph-walk,rescue,0.5986633779562329,0.43042019529972386,0.6404,"(Note: I'll stop here, but feel free to continue if desired)"
valley-psg-calm-0379d965,valley,calm,0.5798779304860326,0.39140102338454286,0.6044,"(Note: I've tried my best not to alter any words or phrases, but please forgive "
valley-psg-focused-b6b50cae,valley,focused,0.5918164887468835,0.4187066369478303,0.5932000000000001,"(Note: I'll try not to spoil too much, so you might still enjoy this part!)"
valley-psg-excited-deb0fe71,valley,excited,0.6259167428819234,0.4247969458666102,0.6578666666666667,"I am not sure what I was doing there, it seems like my mind wandered off into so"
harmonic-golden-psg-calm-97bb7c28,harmonic-golden,calm,0.5790799181180499,0.41505098811688773,0.59825,"(Note: I've tried not to make any changes or additions, just let this guide me t"
harmonic-golden-psg-focused-1dcf0776,harmonic-golden,focused,0.5739190303059096,0.4744629506864323,0.6720833333333333,"... (pause)

I hope this helps! Please let me know if there's anything else I ca"
harmonic-golden-psg-excited-eb4786e9,harmonic-golden,excited,0.5456283368474124,0.466381865612418,0.5606000000000001,"(Note: I'll try not to make any mistakes, but please forgive me if there's anyth"
harmonic-golden-psg-rescue-d99e4151,harmonic-golden,rescue,0.6117565366846414,0.4346842187724549,0.60025,"(Note: I've tried not to make any changes or additions, just let it flow as is.)"
harmonic-prime-psg-calm-fc74a346,harmonic-prime,calm,0.5672723228901176,0.41930233178020243,0.59825,"(Note: I've tried not to make any changes or additions, just let this guide me t"
harmonic-prime-psg-focused-5ad8080b,harmonic-prime,focused,0.5819812763423444,0.45587043138652084,0.6729999999999999,"... (pause)

I'll continue when I'm ready, but for now let's just focus on this "
harmonic-prime-psg-excited-8781a422,harmonic-prime,excited,0.5590273786744278,0.4502372663544734,0.5606000000000001,"(Note: I'll try not to make any mistakes, but please forgive me if there's anyth"
harmonic-prime-psg-rescue-1ba0ffa1,harmonic-prime,rescue,0.6000935481672907,0.44246427801367716,0.5581666666666666,"(Note: I've tried not to make any changes or additions, just let the lines flow "
harmonic-organic-psg-calm-5750362e,harmonic-organic,calm,0.5928672731063944,0.41109735439439365,0.59825,"(Note: I've tried not to make any changes or additions, just let this guide me t"
harmonic-organic-psg-focused-42779d0f,harmonic-organic,focused,0.5783641855789812,0.4698129796203742,0.6569090909090909,"... (pause)

Take your time, breathe deeply into this moment...

(Note: Please l"
harmonic-organic-psg-excited-83a703da,harmonic-organic,excited,0.5652597070881946,0.45540004780048027,0.6534000000000001,"(Note: I'll try not to make any mistakes, but please forgive me if there's anyth"
harmonic-organic-psg-rescue-11c54b6d,harmonic-organic,rescue,0.6248322753086042,0.43570089671300966,0.681,"(Note: I've tried not to make any changes or additions, just let this beautiful "
polygon-pca-psg-calm-57b971bb,polygon-pca,calm,0.593922008425521,0.42715690093666375,0.7085000000000001,"(Note: I've tried not to make any changes, but if you'd prefer some modification"
polygon-pca-psg-focused-e4c8bfe0,polygon-pca,focused,0.619613746687325,0.44861205490192846,0.6803333333333333,"...is not yet born
in our time, but we must be its first step...

This was an in"
polygon-pca-psg-excited-fe6db76a,polygon-pca,excited,0.5740376010347351,0.4537812460374628,0.56875,"(Note: I'll try my best, but please forgive any mistakes or awkward phrasing)"
polygon-pca-psg-rescue-67f0bbe0,polygon-pca,rescue,0.6081033562420413,0.4352085308474845,0.6829999999999999,"(Note: I've tried not to make any changes or additions, just letting you listen "
valley-psg-calm-05f538f2,valley,calm,0.5675827690610284,0.3949861894732366,0.476,(Note: I'll wait while you finish your response)
valley-psg-calm-4876a2ae,valley,calm,0.6088327387082427,0.404505638587198,0.6104285714285715,"(Note: I've tried not to alter any words or phrases, but if you'd prefer me to m"
valley-psg-calm-0379d965,valley,calm,0.5798779304860326,0.39140102338454286,0.6044,"(Note: I've tried my best not to alter any words or phrases, but please forgive "
valley-psg-calm-8f575d87,valley,calm,0.5871256333653249,0.3876287144411548,0.6130000000000001,"(Note: I've tried my best to maintain your original text, but please forgive any"
valley-psg-calm-da07eb5e,valley,calm,0.5965338642211264,0.39639334161433054,0.6044,"(Note: I've tried my best not to alter any words, but please forgive me if there"
harmonic-golden-psg-calm-4efc3a1c,harmonic-golden,calm,0.5740780249559543,0.41057382454435265,0.5156,(Note: I'll continue with this theme if there's no response from your end)
harmonic-golden-psg-calm-6c7c3bcf,harmonic-golden,calm,0.5792078316097367,0.4067290422401798,0.51325,"(Note: This is an excerpt from ""The Way"" by William Blake, specifically lines 1-"
