id,constructor,target,variant,placement_error,displacement
graph-walk-psg-calm-7882d64d,graph-walk,calm,plain,0.31159407350932466,0.0012303617787559618
graph-walk-psg-calm-7882d64d,graph-walk,calm,anded,0.3110571653792681,0.001767269908812541
graph-walk-psg-excited-f1395e31,graph-walk,excited,plain,0.4774349906266547,0.19311986643734386
graph-walk-psg-excited-f1395e31,graph-walk,excited,anded,0.48099276891584475,0.18956208814815378
valley-psg-calm-0379d965,valley,calm,plain,0.23121687515401604,0.013126860022055986
valley-psg-calm-0379d965,valley,calm,anded,0.23622525231554972,0.008118482860522303
valley-psg-excited-deb0fe71,valley,excited,plain,0.4002990817637816,0.06629001647980615
valley-psg-excited-deb0fe71,valley,excited,anded,0.4088897289682313,0.05769936927535646
harmonic-golden-psg-calm-97bb7c28,harmonic-golden,calm,plain,0.30734393746559624,-0.06655815124211367
harmonic-golden-psg-calm-97bb7c28,harmonic-golden,calm,anded,0.31104357707073593,-0.07025779084725337
harmonic-golden-psg-excited-eb4786e9,harmonic-golden,excited,plain,0.42889742119775864,0.1506414871341304
harmonic-golden-psg-excited-eb4786e9,harmonic-golden,excited,anded,0.4233082467769577,0.15623066155493132
harmonic-prime-psg-calm-fc74a346,harmonic-prime,calm,plain,0.30944668777572926,-0.06866090155224669
harmonic-prime-psg-calm-fc74a346,harmonic-prime,calm,anded,0.31274152604366434,-0.07195573982018177
harmonic-prime-psg-excited-8781a422,harmonic-prime,excited,plain,0.43802709337397505,0.14151181495791398
harmonic-prime-psg-excited-8781a422,harmonic-prime,excited,anded,0.4385922995913849,0.14094660874050413
harmonic-organic-psg-calm-5750362e,harmonic-organic,calm,plain,0.31742798896330393,-0.07664220273982136
harmonic-organic-psg-calm-5750362e,harmonic-organic,calm,anded,0.3290179995234335,-0.08823221329995096
harmonic-organic-psg-excited-83a703da,harmonic-organic,excited,plain,0.4385665354407394,0.1409723728911496
harmonic-organic-psg-excited-83a703da,harmonic-organic,excited,anded,0.43637033379474977,0.14316857453713927
polygon-pca-psg-calm-57b971bb,polygon-pca,calm,plain,0.23498983301719634,0.07783460227088429
polygon-pca-psg-calm-57b971bb,polygon-pca,calm,anded,0.23963866749629495,0.07318576779178568
polygon-pca-psg-excited-fe6db76a,polygon-pca,excited,plain,0.4379780072003503,0.23257684986364824
polygon-pca-psg-excited-fe6db76a,polygon-pca,excited,anded,0.43636740174422683,0.2341874553197717
