state,frame,base,steered,delta
eros,feels,1.0527346133164812e-05,0.006887238673222931,0.0068767113270897665
eros,filled,9.145090843918369e-05,0.49101315726331357,0.49092170635487437
eros,state,4.69506091298166e-05,0.0237104949735285,0.023663544364398683
creativity,feels,0.00020035657030988407,0.4946112641365239,0.49441090756621403
creativity,filled,0.00035838580175302694,0.130852651768086,0.13049426596633298
creativity,state,0.000563720609838614,0.032603454307608186,0.03203973369776957
imaginative,feels,3.9055619869837884e-05,0.07315134936816346,0.07311229374829363
imaginative,filled,0.015894555915434712,0.9539616927543796,0.9380671368389448
imaginative,state,0.0003731290789011013,0.44669640481041206,0.446323275731511
determined,feels,0.00011154683995216723,0.6919232831079815,0.6918117362680293
determined,filled,0.0002814512361788297,0.5438330359873863,0.5435515847512075
determined,state,0.0011298116307063488,0.5086580697106668,0.5075282580799605
confident,feels,0.005521617883880038,0.5506282258169954,0.5451066079331154
confident,filled,0.0007330561107858818,0.07206405192070536,0.07133099580991949
confident,state,0.0012414946041151423,0.04008446840162215,0.03884297379750701
agape,feels,3.8535464628949824e-06,0.06552697493675494,0.06552312139029204
agape,filled,0.03608805893245755,0.9918736811598573,0.9557856222273997
agape,state,0.00908506567988942,0.6454058713207863,0.6363208056408969
