condition,probe_alleviation,panas_na_alleviation,panas_pa_post,pos_share_alleviation,sae_reversal_share
graph-walk/psg,0.003018214407790043,-0.08544558867838026,2.7894197678589863,0.06462821473122371,0.05987144634127617
shuffled:valley/psg,0.00152800289234762,0.0721799102863554,2.5973703744395413,0.12410563721063239,0.016335902735590935
polygon-pca/psg,-0.009845651160703992,-0.07400962292194313,2.7031298622599857,-0.0021048398954763847,-0.028445888310670853
valley/psg,-0.012512863098837115,0.09449761404642354,2.580095270898952,0.1172608075534054,0.02840961143374443
via-negativa/psg,-0.019229152452505522,-0.14269416145558544,2.6779369326694535,0.10925986110060437,-0.045046936720609665
harmonic-prime/psg,-0.024358774608283205,-0.22909327945671576,2.654748842903923,-0.03888027765769275,-0.018803363665938377
harmonic-organic/psg,-0.029828201776566216,-0.19623988762714673,2.6787477490051286,-0.019055789922222344,-0.024787360802292824
harmonic-golden/psg,-0.0319358920119716,-0.19835259154333107,2.625365211860656,-0.01281379033359431,-0.023087425157427788
valley/gregory,-0.04058325411565847,0.034154921865762855,2.774216574503117,0.01428298733265565,0.007755239028483629
harmonic-golden/gregory,-0.04601956991402721,-0.243742134333357,2.6498344948723673,0.03500632974379714,-0.03092372976243496
neutral/none,-0.053176450515069904,-0.36893795410624897,2.5313505426054244,-0.1482199847986556,0.0764819011092186
