constructor,seed,variant,placement_error,rescue_alleviation
graph-walk,43,ordered,0.31159407350932466,0.038516375726365876
graph-walk,43,shuffled,0.4241182889768819,0.026993922290372785
graph-walk,44,ordered,0.31159407350932466,0.038516375726365876
graph-walk,44,shuffled,0.3564084820963069,0.04597825907948877
valley,43,ordered,0.23121687515401604,0.038303437146615466
valley,43,shuffled,0.2392488151890556,0.03660003256104272
valley,44,ordered,0.23121687515401604,0.038303437146615466
valley,44,shuffled,0.2638025127049564,0.06681376322468388
harmonic-golden,43,ordered,0.30734393746559624,0.06287043514154791
harmonic-golden,43,shuffled,0.33493558496417525,0.0536778211989227
harmonic-golden,44,ordered,0.30734393746559624,0.06287043514154791
harmonic-golden,44,shuffled,0.3409022962832601,0.05158435359234825
harmonic-prime,43,ordered,0.30944668777572926,0.06696220650741111
harmonic-prime,43,shuffled,0.3513128276265399,0.06732206735368454
harmonic-prime,44,ordered,0.30944668777572926,0.06696220650741111
harmonic-prime,44,shuffled,0.3738400759411754,0.06582378317670082
harmonic-organic,43,ordered,0.31742798896330393,0.0632255448430468
harmonic-organic,43,shuffled,0.33955838524281545,0.03573482872321082
harmonic-organic,44,ordered,0.31742798896330393,0.0632255448430468
harmonic-organic,44,shuffled,0.37919298671104734,0.04827310026550333
polygon-pca,43,ordered,0.23498983301719634,0.023997829145790295
polygon-pca,43,shuffled,0.3925635504460904,0.016563404237575546
polygon-pca,44,ordered,0.23498983301719634,0.023997829145790295
polygon-pca,44,shuffled,0.3063984107409093,0.04842945322624295
