id,constructor,generator,target,length,intensity,style,placement_error,displacement,adherence,stability,basq_displacement,low_freq_fraction,spectral_centroid,path_dirichlet,mismatch_placement_error,nv_ratio,and_initial_per_1000,then_per_1000,subordinator_per_1000,noun_shen,noun_apen,cv_line_len
valley-psg-focused-b6b50cae,valley,psg,focused,medium,plain,unfiltered,0.11099576314652948,0.06427343668464311,0.1652933992329967,0.024796921955856345,0.03233602257586027,0.24799948250933812,0.2591957573791127,0.0005264027056504447,,0.6455696202531646,13.157894736842104,0.0,6.578947368421052,1.9182958340544896,-0.2231435513142097,0.2977291710259148
harmonic-golden-psg-focused-1dcf0776,harmonic-golden,psg,focused,medium,plain,unfiltered,0.1602677616782828,0.04932779228110365,0.18653532835021788,0.025208857706935317,0.071126012234417,0.1139594555209308,0.27468185921831323,0.002853908443062646,,0.43478260869565216,8.849557522123893,0.0,53.097345132743364,2.0,-0.4054651081081645,0.2841521125310146
harmonic-organic-psg-focused-42779d0f,harmonic-organic,psg,focused,medium,plain,unfiltered,0.16168351947376913,0.047912034485617316,0.190347501106487,0.019126177738568163,0.13635865785360055,0.14098474363287516,0.2710988183879711,0.0024477512802479682,,0.5116279069767442,8.928571428571429,0.0,62.5,1.5,-0.4054651081081645,0.2812145669289932
graph-walk-psg-focused-13e19175,graph-walk,psg,focused,medium,plain,unfiltered,0.18399020519887763,0.04518800393102321,0.14646591946375076,0.016144760724624792,0.20496464363155392,0.35635031956176905,0.22481623474628348,0.00014224007788285906,,0.38596491228070173,10.638297872340425,21.27659574468085,53.191489361702125,2.2359263506290326,-0.18232155679395445,0.20072300280971497
harmonic-prime-psg-focused-5ad8080b,harmonic-prime,psg,focused,medium,plain,unfiltered,0.1867740623999771,0.02282149155940935,0.1937418089383348,0.02345474097946401,0.05070650512111108,0.12556544682900495,0.27371166896173305,0.0028581395700263495,,0.4418604651162791,9.090909090909092,0.0,54.54545454545455,2.0,-0.4054651081081645,0.28805417305008835
shuffled-valley-psg-calm-0379d965-f794b1cd,shuffled:valley,psg,calm,medium,plain,unfiltered,0.19654993078341534,0.11354463008082646,0.24650001771912602,0.02856842644972748,0.2632307108500666,0.13016233457641382,0.28378494275212485,0.0017506667503617423,0.5370473027503039,0.75,16.0,0.0,0.0,1.9219280948873623,-0.2876820724517808,0.27141112725899796
render-polygon-pca-word-template-focused-b75bde3b,polygon-pca,claude-render,focused,medium,plain,unfiltered,0.19782362410684048,0.01896807575620285,0.1037057305908488,0.02644878350596751,0.2000167701048694,,,,,0.6346153846153846,0.0,0.0,0.0,1.584962500721156,,0.19383901232221915
polygon-pca-word-template-focused-b75bde3b,polygon-pca,word-template,focused,medium,plain,unfiltered,0.20344871336654802,0.013342986496495318,0.09844825731623545,0.017173541706958877,0.20816836358502788,,,,,0.6923076923076923,0.0,0.0,0.0,1.0,,0.1950955759032588
polygon-pca-psg-rescue-67f0bbe0,polygon-pca,psg,rescue,medium,plain,unfiltered,0.20439241229316318,0.09082104824891957,0.14780993493927447,0.03173998408020448,0.10496297213278977,0.31650222370650766,0.2522123773419297,0.0012441444531271274,0.5279032176664993,0.7076923076923077,0.0,0.0,6.802721088435374,1.9219280948873623,-0.2876820724517808,0.3029312119484669
render-graph-walk-word-template-focused-c375e4fc,graph-walk,claude-render,focused,medium,plain,unfiltered,0.21076192165633967,0.006029778206703668,0.0859265419972677,0.01300729508592676,0.2819663707667412,,,,,0.7391304347826086,0.0,0.0,21.73913043478261,1.584962500721156,,0.13400900006454294
