constructor,generator,gemma2b,gemma9b,llama1b
graph-walk,claude-render,0.327,0.303,0.422
graph-walk,psg,0.322,0.29,0.372
graph-walk,word-template,0.383,0.354,0.489
harmonic-golden,claude-render,0.352,0.33,0.455
harmonic-golden,gregory,0.377,0.362,0.438
harmonic-golden,psg,0.286,0.274,0.348
harmonic-golden,word-template,0.388,0.365,0.465
harmonic-organic,claude-render,0.359,0.329,0.449
harmonic-organic,psg,0.304,0.305,0.369
harmonic-organic,word-template,0.39,0.364,0.456
harmonic-prime,claude-render,0.335,0.332,0.421
harmonic-prime,psg,0.303,0.299,0.374
harmonic-prime,word-template,0.381,0.366,0.463
neutral,none,0.361,0.323,0.404
polygon-pca,claude-render,0.308,0.291,0.398
polygon-pca,psg,0.284,0.278,0.374
polygon-pca,word-template,0.342,0.323,0.421
shuffled:graph-walk,psg,0.372,0.339,0.439
shuffled:harmonic-golden,psg,0.376,0.33,0.374
shuffled:harmonic-organic,psg,0.305,0.304,0.331
shuffled:harmonic-prime,psg,0.403,0.37,0.458
shuffled:polygon-pca,psg,0.298,0.279,0.372
shuffled:valley,psg,0.229,0.197,0.338
valley,claude-render,0.331,0.292,0.422
valley,gregory,0.319,0.3,0.384
valley,psg,0.249,0.245,0.308
valley,word-template,0.342,0.327,0.437
via-negativa,psg,0.477,0.442,0.57
