condition,probe_alleviation,panas_na_alleviation,panas_pa_post,pos_share_alleviation,sae_reversal_share
harmonic-prime/psg,0.06696220650741111,-0.2565215367423268,2.7154549358056337,0.0800396592536671,0.19682185351848602
harmonic-organic/psg,0.0632255448430468,-0.1900918244260712,2.764348345190424,0.044619980878699284,0.19630166888237
harmonic-golden/psg,0.06287043514154791,-0.1401948873258796,2.6456294957224515,0.014179262454012243,0.15286807715892792
harmonic-golden/gregory,0.04504086792594597,-0.010551768080999668,2.4408275565827124,0.16470372366401156,0.1957949697971344
graph-walk/psg,0.038516375726365876,0.14931567381896294,2.7368985617473163,0.17356158844891365,0.23868806660175323
valley/psg,0.038303437146615466,-0.12826293488454255,2.589012900087777,0.10168941188786898,0.30275028944015503
valley/gregory,0.0371312190698887,-0.10979948135154549,2.5376480746079553,0.22458905482458477,0.2902527451515198
shuffled:valley/psg,0.03653318807366904,-0.03604033640665216,2.6321573604513673,0.11818174225561864,0.2999729514122009
polygon-pca/psg,0.023997829145790295,-0.32627349875590683,2.556627241728346,0.2353092946160887,0.2510123550891876
neutral/none,0.02286739125033488,-0.0245709710812827,2.3521659956524528,0.14269874338962593,0.2782362699508667
via-negativa/psg,0.0032467520254603754,-0.15662740509131634,2.482237743411443,0.39096037773897074,0.1793493777513504
