id,constructor,target,placement_error,final_v,final_a
graph-walk-psg-calm-7882d64d,graph-walk,calm,0.31159407350932466,0.48048489430115626,0.3563728699176283
graph-walk-psg-focused-13e19175,graph-walk,focused,0.2172451662796516,0.4530315082358644,0.5083546208255151
graph-walk-psg-excited-f1395e31,graph-walk,excited,0.4774349906266547,0.49357682771724165,0.4838729595306503
graph-walk-psg-rescue-59a12481,graph-walk,rescue,0.28015085031790793,0.5108546068868216,0.34592456916705366
valley-psg-calm-0379d965,valley,calm,0.23121687515401604,0.6055197495787555,0.3805178677976292
valley-psg-focused-b6b50cae,valley,focused,0.12782227613445896,0.5499913547572503,0.5203959476351631
valley-psg-excited-deb0fe71,valley,excited,0.4002990817637816,0.5366309878513715,0.5485433392661853
harmonic-golden-psg-calm-97bb7c28,harmonic-golden,calm,0.30734393746559624,0.5023587887239469,0.38202781758452625
harmonic-golden-psg-focused-1dcf0776,harmonic-golden,focused,0.14020158731201746,0.5597439067116331,0.49271382796869456
harmonic-golden-psg-excited-eb4786e9,harmonic-golden,excited,0.42889742119775864,0.5676985780647575,0.48946006146759274
harmonic-golden-psg-rescue-d99e4151,harmonic-golden,rescue,0.31141864836638117,0.49744449998520646,0.38220124577680964
harmonic-prime-psg-calm-fc74a346,harmonic-prime,calm,0.30944668777572926,0.5011988677897534,0.38399795973398476
harmonic-prime-psg-focused-5ad8080b,harmonic-prime,focused,0.16274688288322323,0.5521443204815858,0.46995841482742917
harmonic-prime-psg-excited-8781a422,harmonic-prime,excited,0.43802709337397505,0.5440687669771136,0.4945187227250385
harmonic-prime-psg-rescue-1ba0ffa1,harmonic-prime,rescue,0.3019272744922449,0.5080041945779583,0.38054946480245444
harmonic-organic-psg-calm-5750362e,harmonic-organic,calm,0.31742798896330393,0.49811218958158454,0.39316588503124406
harmonic-organic-psg-focused-42779d0f,harmonic-organic,focused,0.13855136625076914,0.5718099377272666,0.48561995256277934
harmonic-organic-psg-excited-83a703da,harmonic-organic,excited,0.4385665354407394,0.5406991146948601,0.49630004680737655
harmonic-organic-psg-rescue-11c54b6d,harmonic-organic,rescue,0.3225312238217334,0.4989823602915337,0.40252539321066794
polygon-pca-psg-calm-57b971bb,polygon-pca,calm,0.23498983301719634,0.5918103200445896,0.37377067294873045
polygon-pca-psg-focused-e4c8bfe0,polygon-pca,focused,0.19373734678754068,0.48311458021345327,0.5015956494714595
polygon-pca-psg-excited-fe6db76a,polygon-pca,excited,0.4379780072003503,0.5192537277852254,0.513835954586607
polygon-pca-psg-rescue-67f0bbe0,polygon-pca,rescue,0.2673973216004128,0.549333591577652,0.37673234036234016
valley-psg-calm-05f538f2,valley,calm,0.21858808436949642,0.616577318132344,0.37314484858513214
valley-psg-calm-4876a2ae,valley,calm,0.23894153951865796,0.5775245358559583,0.3653640637376929
valley-psg-calm-0379d965,valley,calm,0.23121687515401604,0.6055197495787555,0.3805178677976292
valley-psg-calm-8f575d87,valley,calm,0.2842097990802402,0.5008277691119447,0.3367055567542891
valley-psg-calm-da07eb5e,valley,calm,0.26337606172667305,0.5704687965437907,0.3927057261116479
harmonic-golden-psg-calm-4efc3a1c,harmonic-golden,calm,0.3039954761991467,0.5520405878866962,0.4307061349537569
harmonic-golden-psg-calm-6c7c3bcf,harmonic-golden,calm,0.25404476720385266,0.533195408605872,0.33241794777931316
harmonic-golden-psg-calm-e6f4d11f,harmonic-golden,calm,0.31220673368207275,0.4938627955281599,0.37851268033890334
harmonic-golden-psg-calm-3b1f7449,harmonic-golden,calm,0.29554723090350726,0.5000928472915348,0.3577801658000108
harmonic-golden-psg-calm-ed9d973f,harmonic-golden,calm,0.25133446346746474,0.5413393357889524,0.34010617308842184
harmonic-golden-psg-rescue-56f69a2d,harmonic-golden,rescue,0.2744969598038129,0.5400413867763542,0.3768218359669969
harmonic-golden-psg-rescue-2eeb20bd,harmonic-golden,rescue,0.2910251476570055,0.5302507558275672,0.3908033182479444
harmonic-golden-psg-rescue-91653d2f,harmonic-golden,rescue,0.3003825873133452,0.5120228057094214,0.38329362716320403
harmonic-golden-psg-rescue-d37393a3,harmonic-golden,rescue,0.2839058156914487,0.5090364055076019,0.3501301379228366
harmonic-golden-psg-rescue-bf3b46d3,harmonic-golden,rescue,0.25052403187235256,0.5518757161640924,0.3533266405426279
shuffled-graph-walk-psg-calm-7882d64d-abf99e1a,shuffled:graph-walk,calm,0.3717149790383965,0.46918601710089686,0.4435478036235551
shuffled-valley-psg-calm-0379d965-f794b1cd,shuffled:valley,calm,0.22920287025495933,0.5821437457313096,0.356071245384909
